"t","fmean"
0,7.79160127737814e-12
0.01,8.10984585464967e-12
0.02,8.47552657223115e-12
0.03,8.9443336514817e-12
0.04,9.67780643637144e-12
0.05,1.14410161685231e-11
0.06,1.57458211768899e-11
0.07,4.0770982012109e-11
0.08,1.10464395727365e-10
0.09,3.06612603311605e-10
0.1,9.15010366813243e-10
0.11,2.68403082291947e-09
0.12,7.62819661210547e-09
0.13,2.10979474210107e-08
0.14,5.67407764639588e-08
0.15,1.48234327394489e-07
0.16,3.76072585077487e-07
0.17,9.26511175298167e-07
0.18,2.21673304186832e-06
0.19,5.15113064534177e-06
0.2,1.16269710788268e-05
0.21,2.54950599248083e-05
0.22,5.43152803594583e-05
0.23,0.000112438590035383
0.24,0.000226196596612684
0.25,0.000442264988258788
0.26,0.00084052659417038
0.27,0.0015528765749589
0.28,0.00278920401858792
0.29,0.00487101441754434
0.3,0.00827157979514008
0.31,0.0136589511565594
0.32,0.0219346872124535
0.33,0.0342571524209898
0.34,0.0520363020319148
0.35,0.0768837353856145
0.36,0.11047404613035
0.37,0.154340136482075
0.38,0.209715921394222
0.39,0.277408495452859
0.4,0.357027820577959
0.41,0.446772256479242
0.42,0.543546020791645
0.43,0.642374900355046
0.44,0.737391007584978
0.45,0.821920399532506
0.46,0.888975774823381
0.47,0.932924379702903
0.48,0.95005363643194
0.49,0.942002236561653
0.5,0.909657845103084
0.51,0.853327027547055
0.52,0.777945390716959
0.53,0.689212020617357
0.54,0.593320722577355
0.55,0.496346118022035
0.56,0.403514094556267
0.57,0.31870899923337
0.58,0.244456220345014
0.59,0.181957163090511
0.6,0.131276719711054
0.61,0.0916210674503595
0.62,0.061643984791902
0.63,0.0397314213736164
0.64,0.024231605332672
0.65,0.0136163280443991
0.66,0.00657431314810236
0.67,0.00204772015793907
0.68,-0.00077241661319025
0.69,-0.00247568091401718
0.7,-0.00347309298480491
0.71,-0.00403946010874965
0.72,-0.00435134058737192
0.73,-0.00451790006136799
0.74,-0.00460416935008618
0.75,-0.00464750604738905
0.76,-0.00466861996584792
0.77,-0.00467859675966606
0.78,-0.00468318034035339
0.79,-0.00468523844919074
0.8,-0.00468613961634253
0.81,-0.00468652293912417
0.82,-0.00468668132144903
0.83,-0.00468674488199628
0.84,-0.00468676965393084
0.85,-0.00468677902898162
0.86,-0.00468678247388547
0.87,-0.00468678370387847
0.88,-0.00468678413149181
0.89,-0.00468678427497068
0.9,-0.00468678432009498
0.91,-0.00468678433336162
0.92,-0.00468678433728405
0.93,-0.00468678433854622
0.94,-0.00468678433893499
0.95,-0.00468678433902428
0.96,-0.00468678433906645
0.97,-0.0046867843390849
0.98,-0.00468678433909779
0.99,-0.00468678433910861
1,-0.00468678433911867
